sentiment,quids,quotation
-1,1283312,"Great country, great people, but I don't know what's going on in the USA. I'm so sorry. I'm the president of Ukraine."
1,541308,"The U.S. funding plays a very important role, and I would love to see people in the Middle East sit down with the United States government and figure out how U.S. aid can bring people together, not just result in an arms war in that area. So I think there is extraordinary potential for the United States to help the Palestinian people rebuild Gaza and other areas. At the same time, demand that Israel, in their own interests in a way, work with other countries on environmental issues."
0,580256,"It's time that we had a United States senator who is going to support the president, not try to obstruct his way."
-1,1160691,"attacks responsible for threatening U.S. citizens, our partners, and innocent civilians."
1,99869,"Israel has no better friend in the world than the United States. And the United States has no better friend than Israel. I want to thank President Obama, the Congress and the American people for all they have done for Israel's security,"
0,166865,"The timing will depend on the recruitment rate of subjects in the US, once we have some experience on how quick we can recruit we'll know better."
-1,158199,"The President of the United States seems to embrace a construct that there are moderates to negotiate with in Iran running the government. That is beyond delusional. That is dangerous,"
1,1129199,"BEP remains the premium Canadian renewable energy name. The growth outlook for BEP remains strong, as the Company continues to target longterm average annual FFO/share growth of 6-11 per cent and total shareholder returns of 12-15 per cent. The announced X-Elio acquisition further expands the Company's portfolio of operating solar assets, and adds a significant development pipeline that could drive additional future growth. With significant pro forma liquidity available (US$ 2-billion), we expect BEP to remain active on the M&A front on an opportunistic basis."
-1,1276109,"For the past several months, the U.S. government has been leveraging its political and diplomatic influence to lobby other governments to ban Huawei equipment,"
-1,498952,"losing touch with reality..... If we send a signal to the Middle East that the US sees all Muslims as jihadis, the terrorist recruiters win by telling kids that America is banning Muslims and that this is America versus one religion."
0,400049,"The birth of MS-13 and the spreading of MS-13 was way before the Obama administration. Actually, it was in 2004 when the FBI took notice and stated that it had spread already to some 40 states of the United States."
0,1357063,"They [ Lavrov and Pompeo ] have discussed the situation related to the murder of Iranian Revolutionary Guards' Quds Force commander Qassem Soleimani by the US military in an airstrike on the Baghdad airport,"
-1,1183280,"With volumes in the Treasury market again about a third of normal, and little in the way of price action, clearly there is not much to discuss this morning when it comes to U.S. rates developments,"
